# T0230 stdlib proof-gate ratchet manifest — regenerate with proof_gate.py --seed
# file	status	proved	failed
core/action/effects.vr	unverifiable	0	0
core/action/ludics.vr	unverifiable	0	0
core/action/ludics_lazy.vr	failures	5	2
core/action/monads/exception.vr	failures	10	5
core/action/monads/io.vr	clean	13	0
core/action/monads/nondeterm.vr	clean	19	0
core/action/monads/probability.vr	failures	6	5
core/action/monads/pure.vr	failures	5	4
core/action/monads/quantum.vr	failures	6	4
core/action/monads/reader.vr	failures	6	4
core/action/monads/state.vr	failures	10	4
core/action/monads/writer.vr	failures	6	4
core/database/sqlite/native/verify/btree_invariants.vr	failures	9	1
core/math/advanced.vr	clean	26	0
core/math/agent.vr	unverifiable	0	0
core/math/algebra.vr	clean	37	0
core/math/analysis.vr	clean	15	0
core/math/autodiff.vr	clean	61	0
core/math/bits.vr	clean	44	0
core/math/calculus.vr	clean	41	0
core/math/category.vr	clean	21	0
core/math/checked.vr	clean	38	0
core/math/coding.vr	clean	12	0
core/math/cohesive.vr	failures	43	6
core/math/complex.vr	clean	8	0
core/math/concrete_accessible.vr	failures	0	1
core/math/constants.vr	clean	3	0
core/math/cubical.vr	unverifiable	0	0
core/math/day_convolution.vr	failures	9	7
core/math/diakrisis_primitive.vr	clean	7	0
core/math/distributed.vr	clean	22	0
core/math/dual_absolute_layer.vr	failures	0	1
core/math/elementary.vr	failures	59	3
core/math/epistemic.vr	failures	8	10
core/math/examples.vr	failures	246	7
core/math/fibration.vr	clean	15	0
core/math/frameworks/msfs/self_containment.vr	failures	1	1
core/math/giry.vr	clean	27	0
core/math/gpu.vr	clean	38	0
core/math/guardrails.vr	unverifiable	0	0
core/math/hott.vr	unverifiable	0	0
core/math/hyperbolic.vr	failures	14	5
core/math/ieee754.vr	clean	39	0
core/math/infinity_category.vr	clean	31	0
core/math/infinity_topos.vr	clean	22	0
core/math/integers.vr	failures	39	6
core/math/internal.vr	clean	34	0
core/math/kan_extension.vr	failures	19	2
core/math/libm.vr	clean	46	0
core/math/linalg.vr	clean	45	0
core/math/logic.vr	clean	28	0
core/math/meta_cls.vr	failures	0	3
core/math/model_category.vr	clean	12	0
core/math/nn.vr	clean	46	0
core/math/number_theory.vr	clean	24	0
core/math/open_question.vr	failures	8	1
core/math/operad.vr	clean	13	0
core/math/rag.vr	unverifiable	0	0
core/math/random.vr	unverifiable	0	0
core/math/s_definable/class_s_s.vr	failures	1	2
core/math/s_definable/lemma_3_4.vr	failures	0	1
core/math/simple.vr	clean	38	0
core/math/simplicial.vr	clean	38	0
core/math/special.vr	failures	22	2
core/math/ssm.vr	unverifiable	0	0
core/math/syn_mod.vr	failures	0	2
core/math/tactics.vr	clean	60	0
core/math/tensor.vr	unverifiable	0	0
core/math/topology.vr	clean	30	0
core/meta/oracle.vr	clean	9	0
core/theory_interop/core.vr	unverifiable	0	0
core/verify/kernel_v0/lemmas/beta.vr	failures	1	1
core/verify/kernel_v0/lemmas/cartesian.vr	failures	4	1
core/verify/kernel_v0/lemmas/eta.vr	failures	2	1
core/verify/kernel_v0/lemmas/sub.vr	failures	1	1
core/verify/kernel_v0/lemmas/subst.vr	failures	4	1
core/verify/kernel_v0/rules/k_app_elim.vr	clean	2	0
core/verify/kernel_v0/rules/k_beta.vr	clean	2	0
core/verify/kernel_v0/rules/k_eta.vr	clean	2	0
core/verify/kernel_v0/rules/k_fwax.vr	failures	1	1
core/verify/kernel_v0/rules/k_lam_intro.vr	clean	2	0
core/verify/kernel_v0/rules/k_pi_form.vr	failures	1	1
core/verify/kernel_v0/rules/k_pos.vr	failures	3	1
core/verify/kernel_v0/rules/k_sub.vr	failures	1	1
core/verify/kernel_v0/rules/k_univ.vr	failures	1	1
core/verify/kernel_v0/rules/k_var.vr	failures	1	1
core/verify/kernel_v0/soundness.vr	clean	2	0
